"INSTNM","CITY","STABBR","INSTURL","NPCURL","lat","lng","CONTROL"
"Glendale Community College","Glendale","AZ","www.gccaz.edu","https://www2.gccaz.edu/policies-disclosures",33.567483,-112.188334,1
"Grand Canyon University","Phoenix","AZ","www.gcu.edu","www.gcu.edu",33.512172,-112.129917,3
"International Academy of Hair Design","Tempe","AZ","www.intlacademyaz.com/","www.intlacademyaz.com/",33.38145,-111.940071,3
"GateWay Community College","Phoenix","AZ","www.gatewaycc.edu","www.gatewaycc.edu/disclosure",33.4495,-111.996527,1
"Mesa Community College","Mesa","AZ","www.mesacc.edu","www.mesacc.edu/students/net-price-calculator.html",33.391256,-111.871494,1
"ITT Technical Institute-Tucson","Tucson","AZ","www.itt-tech.edu","www.itt-tech.edu/npc",32.297261,-110.997501,3
"ITT Technical Institute-Tempe","Tempe","AZ","www.itt-tech.edu","www.itt-tech.edu/npc",33.380355,-111.969169,3
"Mohave Community College","Kingman","AZ","www.mohave.edu","www.mohave.edu/admission-to-mcc/financialaid/",35.270737,-114.030244,1
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","www.uti.edu/","www.uti.edu/student-services/financial-aid/npc",33.684428,-112.121336,3
"Dine College","Tsaile","AZ","www.dinecollege.edu","www.dinecollege.edu",36.293328,-109.21684,1
"Northern Arizona University","Flagstaff","AZ","nau.edu/","nau.edu/finaid/price-calculators/",35.180095,-111.657653,1
"Northland Pioneer College","Holbrook","AZ","www.npc.edu","www.npc.edu/net-price-calculator",34.922221,-110.1316,1
"Ottawa University-Phoenix","Phoenix","AZ","www.ottawa.edu","www.ottawa.edu/resources/netpricecalculator/npcalc.htm",33.57172,-112.113301,2
"Phoenix College","Phoenix","AZ","www.phoenixcollege.edu","www2.maricopa.edu/about-us/quick-facts/tuition-fees/net-price-calculators/colleges/phoenix",33.481361,-112.088293,1
"Cortiva Institute-Scottsdale","Scottsdale","AZ","www.cortiva.com/","www.cortiva.com/locations/arizona-massage-school/tuition-financial-aid.aspx",33.466554,-111.908433,3
"Pima Community College","Tucson","AZ","www.pima.edu","www.pima.edu/web/net-price-calculator/npc.htm",32.221737,-110.887033,1
"Pima Medical Institute-Tucson","Tucson","AZ","pmi.edu","pmi.edu",32.250448,-110.921306,3
"Pima Medical Institute-Albuquerque","Albuquerque","NM","pmi.edu","pmi.edu",35.10488,-106.594381,3
